维度	城市指标	广州	深圳	佛山	东莞	中山	珠海	江门	肇庆	惠州
"经济维度"	"工业增加值（万元）"	"29876500"	4.2072E7	3.02733E7	1.68898E7	9539600.0	5165600.0	7125400.0	2447600.0	6146700.0
""	"地方公共财政预算收入（万元）"	"6218400"	8003600.0	2279900.0	2092200.0	1001200.0	923200.0	1104400.0	435600.0	780700.0
""	"住房价格（元/平方米）"	"8501"	12822.0	5365.0	5411.0	4273.0	6920.0	3159.0	2855.0	3930.0
""	"失业率(%)"	"2.2999999999999998"	2.3	1.9	1.6	2.2	2.8	2.6	2.6	2.7
""	"消费品零售总额（万元）"	"31780000"	2.277E7	1.196E7	8812000.0	2803000.0	3601000.0	4933000.0	2385000.0	4268000.0
""	"固定资产投资（万元）"	"21015000"	1.4643E7	1.2306E7	9430700.0	4449500.0	3513200.0	3782200.0	3263100.0	5887400.0
""	"城镇居民年人均可支配收入（元）"	"25317"	26729.0	22494.0	30275.0		20949.0		13642.0	19481.0
""	"通车里程（公里）"	"8781"	1990.0	5089.0	3883.0	1667.0	1393.0	9929.0	10218.0	10468.0
""	"旅客周转量（亿人公里）"	"374.17309999999998"	85.3198	63.4031	137.8631	72.5195	65.6959	92.9078	38.5699	66.6617
""	"第一产业生产值增长速度（%）"	"1.8"	-13.4	1.5	-3.2	3.9	1.4	1.1	5.1	4.3
""	"第二产业生产值增长速度（%）"	"10.9"	11.9	17.4	6.9	9.5	8.4	14.6	24.1	11.5
""	"第三产业生产值增长速度（%）"	"13.57244409591469"	12.516116456091538	11.790735675620923	23.790262717319237	12.738469964462666	10.162524304970972	6.997719627774515	11.377844762622445	12.83801516168252
""	"居民消费比重（%）"	"69.642937766497198"	82.0373210101661	84.20601081150635	87.8391615304928	76.71215905142635	72.5255537699931	79.35972882039391	79.71358477295783	78.706254445529
""	"生产总值指数（上一年-100）"	"112.28487069827042"	112.14439897881452	115.17460830517336	114.04923848870385	110.51549361397335	108.95998903002648	110.81216706018778	114.23465882370716	111.4579277944397
""	"人均生产总值指数（上一年-100）"	"109.91236584176399"	110.18326865693095	114.2571837126548	112.3996812507223	110.13029949773035	107.80190636685603	110.37530251070088	112.69991741473999	109.06937015902994
""	"中外资金融机构本外币存款"	"16929.46"	14260.93	5713.95	4460.25	1823.11	1575.36	1683.39	728.75	1336.94
""	"中外资金融机构本外币贷款"	"11080.08"	11188.4	2999.73	2432.88	844.27	748.46	624.73	374.15	752.1
""	"房地产开发住宅投资额（亿元）"	"762.42859999999996"	440.4887	403.6776	270.1501	191.6144	147.6476	104.6434	54.3204	186.8314
""	"建筑业企业利润总额（亿元）"	"45.840969999999999"	23.766	15.679	3.38505	4.57304	4.84773	4.07438	1.44566	0.90833
""	"进口总额（亿美元）"	"390.03"	1203.54	132.52	477.82	72.07	256.63	34.89	12.55	117.56
""	"出口总额（亿美元）"	"429.64"	1797.12	289.6	656.42	187.02	211.69	96.53	24.17	179.89
""	"实际利用外资（万美元）"	"362272"	403015.0	180651.0	244668.0	74494.0	114225.0	91683.0	85837.0	135246.0
""	"过夜旅游顾客人数（万人次）"	"3528.74"	2659.31	802.38	1210.94	528.13	1115.44	839.41	710.76	807.66
"人口维度"	"年轻率"	"数据请见上传数据集中所爬取的微博数据"								
""	"三大产业就业人口比重"	""								
""	"常驻人口（万人）"	"1018"	876.8	595.3	695.0	251.1	148.1	414.3	380.3	392.7
""	"户籍人口（万人）"	"645.79999999999995"	228.07	364.34	174.87	146.43	99.48	136.58	52.77	125.95
""	"人口密度(人/平方公里)"	"1370"	4490.0	1547.0	2819.0	1395.0	878.0	434.0	256.0	352.0
""	"省外年末净迁人口（省外迁入-前往省外）"	"46103"	90391.0	6295.0	14841.0	4141.0	21095.0	-5850.0	2509.0	12455.0
""	"省内年末净迁移人口（省内迁入-迁往省内）"	"19671"	32943.0	8839.0	12780.0	3139.0	9842.0	1649.0	-2343.0	20573.0
""	"学龄儿童人数"	"812273"	564381.0	426578.0	459145.0	218284.0	117900.0	314492.0	420497.0	423240.0
""	"高等学校在校学生数"	"736152"	64675.0	36965.0	28656.0	32292.0	88863.0	19173.0	41794.0	9286.0
""	"人口自然增长率"	"4.46"	13.14	3.98	6.23	5.13	8.62	2.38	6.22	
"空间地理维度"	"灯光遥感数据DMSP/OLS"	"28.5424"	54.0767	38.7609	56.9627	48.1164	35.9348	10.5418	3.96	11.3116
""	"城镇化率"	"0.82230000000000003"	1.0	0.9181999999999999	0.8639	0.8614	0.8514	0.49450000000000005	0.4489	0.6127
""	"本年征用土地面积（平方公里）"	""								
""	"住宅类房屋实际销售面积"	"933.05100000000004"	413.6473	481.9731	493.9522	285.2855	159.9931	211.106	140.3189	270.7576
""	"城区建成区面积（平方公里）"	"895"	788.0	248.0	83.0	38.0	118.0	114.0	71.0	180.0
"行政维度"	"县级市"	"2"	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0
""	"县"	"0"	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0
""	"自治县"	"0"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
""	"市辖区"	"10"	6.0	5.0	0.0	0.0	3.0	3.0	2.0	2.0
""	"市辖镇"	"34"	0.0	21.0	28.0	18.0	15.0	62.0	95.0	51.0
""	"乡"	"0"	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
""	"街道"	"131"	55.0	12.0	4.0	6.0	8.0	17.0	12.0	16.0
