城市,夜间活跃度,用户粉丝数量,用户关注数量,用户微博总数
广东,182.19,54.55,10.93,114.95
潮州市,195.03,19.43,21.97,473.58
东莞市,91.1,16.54,13.55,241.83
佛山市,60.13,12.66,9.39,150.42
广州市,397.4,20.26,15.53,425.22
惠州市,25.09,8.74,2.87,122.96
揭阳市,29.91,100.86,39.39,80.8
茂名市,21.51,8,5.56,98.94
清远市,6.35,5.43,19.77,37.24
汕头市,60.39,63.04,16.56,123.98
韶关市,1.18,18.33,20.75,48.23
深圳市,177.33,12.68,13.65,108.02
湛江市,1.67,6.5,6.35,40.34
中山市,8.94,8.84,3.52,28.34
珠海市,14.41,26.27,19.79,28.75
阳江市,1,7.82,4.83,29.01
云浮市,0.76,0.77,17.65,1.64
河源市,2.93,14.46,4.18,5.93
江门市,1.25,1.49,5.21,15.64
汕尾市,15.3,7.26,3.04,38.41
肇庆市,17.5,7.22,6.93,27.22
梅州市,4.18,5.12,16.35,13.34
